Game ,Description,Age Rating,Tags,Generated Title
Festival Jam Stage,"Explore the Jam Stage festival grounds to find friends and stages where you can mix hit music using the Jam Tracks in your locker. The festival is just beginning with more Jam Tracks, Music Icons, concerts, and stages coming soon. Take your stage in Fortnite Festival!",Teen / 12,"music,","1.Jam Stage Festival 🎵
2.Festival of Music 🎶
3.Jam Stage 🎵🎶
4.Music Festival 🎶
5.Jam Stage Jam 🎵"
高性能 1v1,1v1 Build Fight,Teen / 12,"1v1, practice,","1.1v1 Build Fight!
2.1v1 With Verse
3.1v1 With Music
4.1v1 With Stats
5.1v1 With Ranks"
1V1 MAP INFINITE,FIRST PERSON MODE ( NEW )Always NewUpdated Weapons.Free For AllSmooth Experience,Teen / 12,"1v1, pvp, zonewars, practice,","1.1v1 MAP INFINITE 🔫
2.PVP ON MAP INFINITE 🏆
3.PVP WITH FIRST PERSON 👀
4.PVP WITH ELIMS 🎯
5.PVP WITH WEAPONS 💣"
ماب المعرقين PRO💯,"2-20 players compete, either team of the two teams for first place! in an atmosphere of enthusiasm and suspense in this creative map.",Teen / 12,"team deathmatch, action, capture the flag, ","1.🐐 Sheep VS Wolves 🐺
2.🐐 Raft Tycoon 🌊
3.🐐 Box Fight 📦
4.🐐 Realistics 🔫
5.🐐 Pit 👑"
Piece Control 3v3 🎯,🥇 Leaderboard📝 Intense Boxfight Piece Control Scenarios🏆 Career Leaderboard/ Arena Points🎯 Great For Trios,Teen / 12,"boxfight, pvp, practice, competitive,","1.Piece Control Scenarios 📝
2.Piece Control Boxfight 🥇
3.Piece Control Zone Wars 🌪️
4.Piece Control Trios 👥
5.Piece Control Duos 🤝"
Pit - Custom Weapons,"🔫 Custom Weapons + All Weapons💾 Ranked System & All Progress Saves🛠️ Builds Reset Every 15 min📀 Spend Gold On Weapons, Powers, and Events📈 Vote For New Custom Weapons🧠 MADE IN UEFN & WEEKLY UPDATES",Teen / 12,"free for all, practice, pvp, respawn,","1.All Weapons PvP 🔫
2.Pit - Zero Build 💾
3.Pit - Ranked 🥇
4.Pit - Free For All 🤯
5.Pit - Practice 🎯"
TILTED ZONE WARS (ALL WEAPONS) ⭐,This is the ALL WEAPONS version!,Teen / 12,"zonewars, practice, free for all, pvp,","1.ALL WEAPONS Zone Wars 🔫
2.WEAPON VOTING 🗳️
3.NITRO POWERUPS ⚡️
4.UPDATED LOOTPOOL 🎯
5.RANK UP TO UNREAL ⭐️"
TILTED ZONE WARS ⭐,"⭐ ""Tilted Zone Wars"" main version⭐ 16 Players⭐ Last one standing wins⭐ Action Packed⭐ Frequent Updates with all the new content!",Teen / 12,"practice, zonewars, pvp, free for all,","1.TILTED ZONE WARS ⭐
2.TILTED PVP ⭐
3.PVP IN THE SKY ⭐
4.PVP IN THE CENTER ⭐
5.PVP IN THE SKY ⭐"
Festival Jam Stage,"Explore the Jam Stage festival grounds to find friends and stages where you can mix hit music using the Jam Tracks in your locker. The festival is just beginning with more Jam Tracks, Music Icons, concerts, and stages coming soon. Take your stage in Fortnite Festival!",Teen / 12,"music, ","1.Jam Stage Festival 🎵
2.Festival of Music 🎶
3.Jam Stage 🎵🎶
4.Music Festival 🎶
5.Jam Stage Jam 🎵"
1v1 Build Fights! [4.6.4],✔ Simplistic 1v1 Map✔ Always Updated✔ Fully AutomaticFind Opponents through matchmaking!,Teen / 12,"1v1, competitive, practice, ","1.1v1 Build Fights! ✔
2.1v1 With Ranks! ✔
3.1v1 With a Map Vault! ✔
4.1v1 With a Custom Scoreboard! ✔
5.1v1 With a Report System! ✔"
