Game ,Description,Age Rating,Tags,Generated Tag
Festival Jam Stage,"Explore the Jam Stage festival grounds to find friends and stages where you can mix hit music using the Jam Tracks in your locker. The festival is just beginning with more Jam Tracks, Music Icons, concerts, and stages coming soon. Take your stage in Fortnite Festival!",Teen / 12,"music,","['Music', 'Party Game', 'Competitive', 'Leaderboards']"
高性能 1v1,1v1 Build Fight,Teen / 12,"1v1, practice,","['1v1', 'building', 'practice', 'competitive']"
1V1 MAP INFINITE,FIRST PERSON MODE ( NEW )Always NewUpdated Weapons.Free For AllSmooth Experience,Teen / 12,"1v1, pvp, zonewars, practice,","['1v1', 'practice', 'zonewars']"
ماب المعرقين PRO💯,"2-20 players compete, either team of the two teams for first place! in an atmosphere of enthusiasm and suspense in this creative map.",Teen / 12,"team deathmatch, action, capture the flag, ","['team deathmatch', 'action', 'capture the flag', 'base']"
Piece Control 3v3 🎯,🥇 Leaderboard📝 Intense Boxfight Piece Control Scenarios🏆 Career Leaderboard/ Arena Points🎯 Great For Trios,Teen / 12,"boxfight, pvp, practice, competitive,","['boxfight', 'pvp', 'practice', 'competitive']"
Pit - Custom Weapons,"🔫 Custom Weapons + All Weapons💾 Ranked System & All Progress Saves🛠️ Builds Reset Every 15 min📀 Spend Gold On Weapons, Powers, and Events📈 Vote For New Custom Weapons🧠 MADE IN UEFN & WEEKLY UPDATES",Teen / 12,"free for all, practice, pvp, respawn,","['free for all', 'practice', 'pvp', 'respawn']"
TILTED ZONE WARS (ALL WEAPONS) ⭐,This is the ALL WEAPONS version!,Teen / 12,"zonewars, practice, free for all, pvp,","['zonewars', 'practice', 'pvp', 'free for all']"
TILTED ZONE WARS ⭐,"⭐ ""Tilted Zone Wars"" main version⭐ 16 Players⭐ Last one standing wins⭐ Action Packed⭐ Frequent Updates with all the new content!",Teen / 12,"practice, zonewars, pvp, free for all,","['practice', 'zonewars', 'pvp', 'free for all']"
Festival Jam Stage,"Explore the Jam Stage festival grounds to find friends and stages where you can mix hit music using the Jam Tracks in your locker. The festival is just beginning with more Jam Tracks, Music Icons, concerts, and stages coming soon. Take your stage in Fortnite Festival!",Teen / 12,"music, ","['Music', 'Party Game', 'Jam System', 'Competition']"
1v1 Build Fights! [4.6.4],✔ Simplistic 1v1 Map✔ Always Updated✔ Fully AutomaticFind Opponents through matchmaking!,Teen / 12,"1v1, competitive, practice, ","1v1, Building, Practice, Competitive"
1v1 With Every Gun 🔫,❌ No Locked or Paid Mythics✔️ All Weapons Available Without Waiting👤 24 Player Free-For-All🚁 Fun Vehicles💾 Loadout & Eliminations Save🆕 Updated Weekly,Teen / 12,"free for all, practice, pvp, respawn, ","['1v1', 'Free for All', 'Practice', 'PVP']"
The Pit - Free For All,💾 Your Scoreboard Stats Save🛠️ Reset Builds Every 10 min📀 5 Coins per Elimination🔫 All Weapons,Teen / 12,"free for all, practice, pvp, respawn,","['free for all', 'practice', 'pvp', 'respawn']"
OnlyUp Fortnite! 🌄,"OnlyUp Fortnite, with an Altitude Meter and Timer! 🚀If you fall, you restart from the beginning... 😱Don't fall and reach the top by passing every season of Fortnite Chapter 1! 🌄",Everyone / 3,"deathrun, just for fun, parkour, escape, ","parkour, escape, deathrun, just for fun"
🛡️ ARMORED RED VS BLUE 🔴🔵,🔫 ALL new Chapter 5 Season 3 Weapons!🚌 Armored Buses Added!🅿️ Garage on Each Base✅ Fun Red Vs Blue✅ Custom Scoreboard🏛️ Vault With Amazing Items,Teen / 7,"team deathmatch, practice, sandbox, pvp, ","battle royale, teams, weapons, season 3"
👑 SIGMA BOXFIGHTS 📦,🎮 Play as Your Favorite Sigma18 Unique Sigma Powers:👑 KING BALDWIN - Freeze All Players with Hand⛓️JOE GOLDBERG - Cage the Nearest Player🦸GOGGINS - Phase Through Walls⏰ELON MUSK - Travel Back in Timeand so much more!,Teen / 7,"boxfight, pvp, practice, heroes, ","boxfight, pvp, practice, heroes"
