,Genre,Map Name,Description,Age Rating,Tags
0,PvP,BOX PVP 📦,📦 CLASSIC BOX FIGHTS🐠 BOXED LIKE A FISH🤯 200 PUMP IS BACK🏆 WINNER GETS GOLD PUMP💾 ELIMINATIONS & WINS SAVE,Teen / 12,"boxfight, practice, pvp, free for all, "
1,PvP,🐐 GO GOATED! Zone Wars 🌀 *NEW WEAPONS*,🐐 4 Teams Battle 🐐🌀 Classic Zone Wars Game 🌀👥Select Your Team👥💾 Eliminations Save 💾,Teen / 7,"practice, pvp, zonewars, "
2,PvP,The Pit - Free For All,💾 Your Scoreboard Stats Save🛠️ Reset Builds Every 10 min📀 5 Coins per Elimination🔫 All Weapons,Teen / 12,"free for all, practice, pvp, respawn, "
3,PvP,CRAZY RED VS BLUE 🔴🔵,🔫 All Weapons✅ Very Fun Red Vs Blue🔥 10 Coins Per Elimination✅ Custom Scoreboard💾 SAVES Eliminations🆕 CHAPTER 5 WEAPONS,Teen / 12,"team deathmatch, practice, pvp, "
4,PvP,TILTED ZONE WARS ⭐,⭐ Classic Solo Zone Wars ⭐⭐ Fun Loot & Items ⭐⭐ Name Tags ON ⭐⭐ Nostalgic ⭐,Teen / 12,"practice, zonewars, pvp, free for all, "
6,PvP,MINIGAME BOX PVP 📦 50+ Minigames 👑,📦 50+ Minigames:🌋 Rising Lava🌈 Color Switch🛑 Hex-A-Gone🌀 Spin Cycle👻 Invisible💥 Knockback🏃‍♂️ Slow-Mo🎈 Balloon Pop🗳️ VOTE For Your Favorite Game!,Teen / 12,"boxfight, practice, pvp, minigame, "
7,PvP,Red vs Blue Minigames,🕹️ Activate Minigames while playing🔫 All Chapter 5 Season 3 Weapons🏆 Rank up to Unreal🥇 Complete Achievements for Rewards💾 Ranks and Eliminations Save,Teen / 12,"team deathmatch, practice, pvp, action, "
8,PvP,Lucky Block Bedwars,🍀Random Lucky Blocks🛏️Trios Bedwars😎Boss Vault⬆️Upgrade Base!,Teen / 12,"base, tycoon, pvp, competitive, "
9,PvP,Realistic FPS Gun Game [Body Cam],"📷 Hyper Realistic Bodycam First Person🔁 Fast Custom Rounds w/ Day, Rain, Fog, Snow & Night🗺️ 2 Different Maps!👑 First to 20 Wins🔫 8 Player FFA Gun Game(V1.6 One Shot Mode Added)",Teen / 12,"pvp, gun game, free for all, "
10,PvP,🔧 CUSTOM CARS TYCOON,"🚗 Over 50 Custom Cars + MONSTER TRUCKS 🔥🚀 JUMP to the NEXT WORLD in a HUGE MEGA RAMP🔧 Repair, Customize and Upgrade Cars🥇 Compete in the first *CUSTOM RANK SYSTEM*🚚 Unlock SECRET Mega Cars",Teen / 12,"casual, just for fun, tycoon, simulator, "
11,Just For Fun,SIGMA TYCOON👑,👑SIGMA TYCOON💾 FULL Savings Enabled!⭐ Custom Leveling System!🧢 Unlock Different Custom Hats & Pets!❓Can You Find All The Hidden Eggs?!🐉Unlock And Fly The Dragon!🔁 Rebirth To Unlock New Rewards!,Teen / 12,"tycoon, simulator, casual, just for fun, "
12,Just For Fun,OnlyUp Fortnite! 🌄,"OnlyUp Fortnite, with an Altitude Meter and Timer! 🚀If you fall, you restart from the beginning... 😱Don't fall and reach the top by passing every season of Fortnite Chapter 1! 🌄",Everyone / 3,"deathrun, just for fun, parkour, escape, "
13,Just For Fun,CHAINED TOGETHER 🔗☀️,🔗 Chained Together Fortnite🚀 With Altitude Meter and Timer!😱 If you fall you restart 😱🌄 Pass every Season from Chapter 1,Everyone / 3,"deathrun, just for fun, parkour, escape, "
17,Just For Fun,The Pit - Zero Build,⭐ Infinite Respawn🚫 No Building📀 5 Coins per Elimination🔫 All Weapons,Teen / 12,"free for all, respawn, just for fun, action, "
