Game ,Creator Name,Description,Created In,Release Date,Last Update,Age Rating,Tags,Players Now,ALL Time Peak
Battle Royale,epic,"The battle is building!Drop into the Battle Royale. Loot, build, explore, and fight in a game of 100 players competing to be the last one standing.",Unknown,"Jun 30, 2022","June 30, 2022",Teen / 12,,"281,587","3,109,888"
Bed Wars,theboydilly, Teams of Three Destroy Opponent's Beds Protect Your Bed Upgrade Your Base With Diamonds,UEFN,"Aug 20, 2023","June 6, 2024",Teen / 7,"tycoon, base, pvp, trios, ","7,389","66,058"
LEGO Fortnite,epic,"Explore vast, open worlds where the magic of LEGO building and Fortnite collide. Find the ultimate survival crafting LEGO adventure in Fortnite!",LEGO,"Aug 11, 2022","August 11, 2022",Everyone 10+ / 7,"survival, co-op, open world, sandbox, ","50,943","2,447,763"
100 DAYS IN ISOLATION,goldstudio," Wrecked SEASON UPDATE  Survive 100 Days  Reference to the MrBeast channel Updated MYSTERY BOX Perks & NITRO  Action PVE with Friends  Creative 2.0 | UEFN  Feedback, @Gold_Studio_",UEFN,"Jan 3, 2024","June 2, 2024",Teen / 12,"creatures, action, survival horror, pve, ","4,853","45,836"
The Pit - Free For All,geerzy, Your Scoreboard Stats Save Reset Builds Every 10 min 5 Coins per Elimination All Weapons,UEFN,"Apr 19, 2020","June 5, 2024",Teen / 12,"free for all, practice, pvp, respawn, ","38,592","117,310"
Ranked Zero Build,epic,"Just like traditional Zero Build, with a little more to play for!Battle it out against other players of similar rank. Show off your skills, complete challenges for rewards, and climb the ranks.",Unknown,"Apr 11, 2023","April 11, 2023",Teen / 12,,"18,047","166,317"
BOX PVP ,hive, NEW! MYTHIC HAVOC MODE CLASSIC BOX FIGHT BOXED LIKE A FISH 200 PUMP IS BACK WINNER GETS GOLD PUMP ELIMS AND WINS SAVE,UEFN,"Jul 28, 2022","June 9, 2024",Teen / 12,"boxfight, practice, pvp, ","4,569","130,644"
TILTED ZONE WARS ,prettyboy, Classic Solo Zone Wars  Fun Loot & Items  Name Tags ON  Nostalgic ,UEFN,"Aug 6, 2019","June 5, 2024",Teen / 12,"practice, zonewars, pvp, free for all, ","12,481","212,530"
Zero Build - Battle Royale,epic,"All battle, no building!Zero Build is all the action, loot, and progression of classic Battle Royale, without the Building! Players now have a recharging Overshield for added defense as they fight to be the last one standing.",Unknown,"Jun 30, 2022","June 30, 2022",Teen / 12,,"214,735","1,405,384"
MURDER MYSTERY,goodgamers, Survivors: Survive the Murderer Murderer: Eliminate all Survivors Sheriff: Eliminate the Murderer,UEFN,"Oct 20, 2023","June 9, 2024",Teen / 7,"party game, role playing, survival horror, ","4,974","36,210"
Ranked Battle Royale,epic,"Just like classic Battle Royale, with a little more to play for!Battle it out against other players of similar rank. Show off your skills, complete challenges for rewards, and climb the ranks.",Unknown,"Apr 11, 2023","April 11, 2023",Teen / 12,,"103,930","1,440,170"
 SPEED REALISTICS 2v2 - FINEST ,finest," 2v2 Realistics Speed Realistics Enabled Top 250 Leaderboard Updated Weekly Rank up to Unreal by Winning Lofi Beats Made in UEFNThis map is used by the best pros placing in tournaments. There are custom loadout selectors, more than 27 POIs, a ranked leaderboard going all the way to top 250 & lo-fi beats to listen to. Practice against friends via the matchmaking system to reach the highest rank and submit your leaderboard score.",UEFN,"Dec 31, 2020","June 7, 2024",Teen / 12,,"5,602","8,640"
Bed Wars,theboydilly, Teams of Three Destroy Opponent's Beds Protect Your Bed Upgrade Your Base With Diamonds,UEFN,"Aug 20, 2023","June 6, 2024",Teen / 7,"tycoon, base, pvp, trios, ","9,748","66,058"
Bio's TRIO - Zone Wars,bio,"Play the legendary Bios Trio Zone Wars, the completely free 15 player Zone Wars mode.One clean map, Many cool features, Last team standing wins!LATEST UPDATE ADDED COSMETICS Secret vaultFeaturesDaily rewardsRespawn disabledAchievementsCommunity votingRecieve a crown for the winAutomatic team selectionCustomize weapons5 teamsChoose your teamRandom weapons and items + vending mashinesEliminations save",UEFN,"Apr 11, 2020","June 4, 2024",Teen / 12,"zonewars, practice, trios, pvp, ","6,783","60,798"
1v1 Build Fights! [4.6.4],raider464, Simplistic 1v1 Map Always Updated Fully AutomaticFind Opponents through matchmaking!,UEFN,"Nov 3, 2020","May 25, 2024",Teen / 12,,"8,671","32,829"
